Title,Ignored,Claimed,AppId,BundleId,Price,Description,StorePageUrl,Comments
Human Resource Machine,,,,,,,,
Humble Frozenbyte Bundle,,,,,31.97,"Includes <a href=""https://store.steampowered.com/app/35700"">Trine</a>, <a href=""https://store.steampowered.com/app/2500"">Shadowgrounds</a>, and <a href=""https://store.steampowered.com/app/11200"">Shadowgrounds: Survivor</a>.",,"Combined price: Trine ($14.99), Shadowgrounds ($6.99), and Shadowgrounds: Survivor ($9.99). See bundle info: https://indiegamebundle.fandom.com/wiki/The_Humble_Frozenbyte_Bundle"
Humble Voxatron Debut,,,,,19.97,"Includes <a href=""https://store.steampowered.com/app/9500"">Gish</a>, <a href=""https://store.steampowered.com/app/113200"">The Binding of Isaac</a>, and <a href=""https://store.steampowered.com/app/111800"">Blocks That Matter</a>.",,"Combined price: Gish ($9.99), The Binding of Isaac ($4.99), and Blocks That Matter (4.99). See bundle info: https://indiegamebundle.fandom.com/wiki/The_Humble_Voxatron_Debut"
Husk,,,,,,,,
Hyper Gunsport,,,,,,,,
Hyper Light Drifter,,,,,,,,
I am Bread,,,,,,,,
I'm not a Monster,,,,,,,,
In Between,,,,,,,,
Incredipede,,,,,,,,
Indie Game: The Movie,,,207080,,,,,
Infinifactory,,,,,,,,
Inside,,,,,,,,
Interplanetary: Enhanced Edition,,,,,,,,
Into the Breach,,,,,,,,
Into the Pit,,,,,,,,
Intrusion 2,,,,,,,,
"Invisible, Inc.",,,,,,,,
Izmir: An Independence Simulator,,,,,,,,
Jack Lumber,,,,,,,,
Jackbox Party Pack 4,,,610180,,,,,
Jalopy,,,,,,,,
Joe Danger 2: The Movie,,,,,,,,
Jotun,,,323580,,,,,
JumpJet Rex,,,,,,,,
JumpJet Rex,,,,,,,,
Jurassic Park: The Game,,,201830,,19.99,,,No longer listed for sale. Price from SteamDB.
Jurassic World Evolution 2,,,,,,,,
Kathy Rain,,,,,,,,
Keep Talking and Nobody Explodes,,,,,,,,
Ken Follett's The Pillars of the Earth,,,,,,,,
Kentucky Route Zero,,,,,,,,
Kerbal Space Program,,,,,,,,
Kerbal Space Program,,,220200,,,,,
Kero Blaster,,,,,,,,
Killing Floor 2,,,,,,,,
Kimmy,,,,,,,,
Kingdom Classic,,,368230,,,,,
Kingdom: New Lands Royal Edition,,,,232138,,,,
Knights of Pen and Paper 2,,,310060,,,,,
Knytt Underground,,,,,,,,
Kona,,,,,,,,
Labyrinthine Dreams,,TRUE,,,,,,
Lara Croft GO,,,,,,,,
Laser League,,,,,,,,
Last Day of June,,,,,,,,
Last Day of June,,,,,,,,
Last Word,,,,,,,,
Late Shift,,,,,,,,
Layers of Fear: Masterpiece Edition,,,391720,,,,,
Legend of Grimrock,,,,,,,,
Legionwood 2: Rise of the Eternal's Realm,,,,,,,,
Life is Strange 2,,,,,,,,
Life Is Strange™ - Episode 1,,,,,,,,
Lighthouse Keeper,,,,,,,,
LIMBO,,TRUE,,,,,,
Little Inferno,,,,,,,,
Little Nightmares,,,,,,,,
Little Orpheus,,,,,,,,
Lone Fungus,,,,,,,,
Lost Castle,,,,,,,,
Lost Ruins,,,,,,,,
Love is Dead,,,,,,,,
Luna's Wandering Stars,,,,,,,,
Lust from Beyond - M Edition,,,,,,,,
Machinarium,,,,,,,,
Mafia III,,,,,,,,
Mafia III: Sign of the Times,,,598022,,9.99,,,No longer listed for sale. Price from SteamDB.
MANOS: The Hands of Fate Director's Cut,,,,,,,,
Mark of the Ninja,,,,,14.99,,,"Original game is no longer listed, but the remaster costs $19.99 and upgrading from the original to the remaster costs $4.99."
Mass Effect™ 2,,,2362420,,,,,
McPixel,,,220860,,,,,
Medal of Honor,,,47790,,,,,
Memoria Soundtrack,,,558210,,,,,
Meow Express,,,,,,,,
Metrico+,,,,,,,,
Minecraft: Story Mode - Adventure Pass,,,456630,,14.99,,,No longer listed for sale. Price from SteamDB.
Mini Metro,,TRUE,,,,,,
Minion Masters,,,,,,,,
MINIT,,,,,,,,
Minute of Islands,,,,,,,,
Mirror's Edge,,,17410,,,,,
MirrorMoon EP,,,,,,,,
MirrorMoon EP,,,,,,,,
Momodora: Reverie Under the Moonlight,,,,,,,,
Monaco,,,,,,,,
Monster Loves You,,,226740,,,,,
Monster Prom,,,,,,,,
Montague's Mount,,TRUE,,,,,,
Moon Hunters,,,,,,,,
Moonlighter,,,,,,,,
Mordheim City of the Damned,,,,,,,,
Morphblade,,,,,,,,
Mother Russia Bleeds,,,,,,,,
MOTHERGUNSHIP,,,,,,,,
Mount & Blade: Warband,,,,,,,,
Move or Die,,,,,,,,
Mr. Shifty,,,,,,,,
Murdered: Soul Suspect,,,,,,,,
Mushroom 11,,,,,,,,
Mutant Year Zero: Road to Eden,,,,,,,,
My Memory of Us,,,,,,,,
NAIRI: Tower of Shirin,,,,,,,,
NBA 2K17,,,385760,,4.99,,,No longer listed for sale; replaced by a newer version.
NBA 2K20,,,1089350,,4.99,,,No longer listed for sale; replaced by a newer version.
NBA Playgrounds,,,545270,,19.99,,,No longer listed for sale. Price from SteamDB.
Neon Chrome,,,,,,,,
NeuroVoider,,,,,,,,
Newt One,,,,,,,,
Nex Machina,,,,,,,,
Nightsky,,,,,,,,
Nightsky,,,,,,,,
Nightsky,,,,,,,,
No Time to Explain,,,368730,,,,,
No Time to Explain Remastered,,,,,,,,
Non-Stop Raiders,,,,,,,,
Nongünz,,,,,,,,
Northgard,,,,,,,,
Nova-111,,,,,,,,
Nuclear Throne,,,,,,,,
Nuclear Throne,,,,,,,,
Octodad Dadliest Catch,,,,,,,,
OddPlanet,,,,,,,,
Offspring Fling,,,,,,,,
Offworld Trading Company,,,,,,,,
Oil Rush,,,,,,,,
Okhlos,,,,,,,,
Old Man's Journey,,,,,,,,
ONE PIECE BURNING BLOOD,,,,,,,,
One Piece Pirate Warriors 3,,,,,,,,
Orbital Racer,,,,,,,,
Organ Trail: Director's Cut,,,,,,,,
Organ Trail: Director's Cut,,,,,,,,
